,Amsterdam Centraal,Rotterdam Centraal,Den Haag Centraal,Utrecht Centraal,Eindhoven Centraal,Tilburg Centraal,Almere Centrum,Groningen Centraal,Breda Centraal,Nijmegen Centraal,Leeuwarden Centraal,Maastricht Centraal,TU Delft Campus
Amsterdam Centraal,0.0,4050.03,3411.81,2650.71,6353.0,5734.43,1971.07,8165.03,5255.44,5745.15,6559.56,9475.48,3502.66
Rotterdam Centraal,4095.65,0.0,1611.93,3028.4,5865.48,4208.84,4582.65,10752.55,2996.84,5673.15,9136.04,8869.08,1369.74
Den Haag Centraal,3285.28,1553.21,0.0,3009.41,6548.44,4891.79,3900.47,10094.43,3679.8,6220.29,8325.66,9552.03,1005.84
Utrecht Centraal,2547.53,2999.04,3089.05,0.0,4694.09,4075.52,2498.39,8668.29,3596.53,4362.93,7594.69,7816.57,3193.77
Eindhoven Centraal,6059.02,5538.57,6400.63,4427.29,0.0,2133.47,5743.26,11047.35,3317.95,3563.27,10623.12,4527.85,5970.83
Tilburg Centraal,5745.01,4072.27,4934.33,4113.28,2769.91,0.0,5421.8,11591.7,1851.65,4236.15,10518.1,5818.54,4504.53
Almere Centrum,2071.78,4644.47,4177.12,2460.15,6076.23,5454.19,0.0,7036.33,4975.2,5172.48,5962.73,9198.71,4267.96
Groningen Centraal,8034.4,10646.28,10139.73,8461.96,11312.93,11317.1,6876.54,0.0,10977.01,9172.88,3609.97,13319.33,10230.57
Breda Centraal,5401.27,3009.67,3871.73,3769.54,3712.63,2055.98,5078.06,11247.96,0.0,4874.27,10174.36,6761.25,3441.93
Nijmegen Centraal,5934.75,5735.39,6506.63,4420.93,4028.56,4032.73,5264.34,9238.11,4931.47,0.0,8813.89,6539.68,6166.58
Leeuwarden Centraal,6437.48,9144.57,8506.36,7462.68,11002.44,10456.72,5877.27,3743.47,9977.74,8862.39,0.0,13945.57,8597.2
Maastricht Centraal,9411.11,8701.56,9563.61,7779.37,4266.02,5447.87,9095.34,13156.4,6632.36,6303.17,13815.57,0.0,9133.82
TU Delft Campus,3597.8,1361.5,1095.17,3314.07,6356.72,4700.08,4212.99,10406.96,3488.09,6164.39,8638.18,9360.32,0.0
